Credit_History,Debt_Burden,Employment_Years,Income,Loan_Amount,Down_Payment,LTV,Property_Type,Savings,Interest_Rate_Type,Marital_Status,Age,Education,Location,Recent_Credit_Activity,Will_Default
Fair,0.6510897283884188,12,144188,255944,29567.434057371855,0.8844769400440258,Rental,40556.60533756543,Variable,Married,27,High School,Suburban,Moderate,0
Poor,0.7628099231250299,15,97263,207286,25408.426824512204,0.8774233338261523,Vacation Home,12762.100796985877,Fixed,Single,48,PhD,Urban,Moderate,0
Excellent,1.2963663504830525,12,140813,91108,30770.225703742675,0.6622664782045191,Rental,47655.89136824133,Variable,Widowed,22,Bachelor,Rural,High,0
Fair,0.576006140483849,3,150311,212739,29674.360311532226,0.8605128335118045,Vacation Home,26144.890602749027,Variable,Single,40,High School,Urban,Low,0
Fair,1.3175095587370398,3,132225,332775,21973.809551266066,0.933967967692086,Rental,35758.91425764248,Fixed,Widowed,50,Bachelor,Rural,Moderate,0
Poor,0.2233882033673681,10,117925,139652,30796.734420457462,0.7794751638325448,Vacation Home,23090.92656980105,Fixed,Widowed,32,PhD,Rural,High,0
Excellent,1.187517812092083,13,148428,344565,35228.7008884184,0.8977589108341868,Vacation Home,1384.3103996159068,Fixed,Divorced,50,Masters,Suburban,Moderate,0
Excellent,1.286566686276631,2,81804,72419,23453.499862734112,0.6761416221884573,Primary Residence,3158.5684604865714,Variable,Divorced,36,Masters,Rural,Moderate,0
Fair,0.3545447139722743,18,112340,224385,29060.6843863252,0.8704874016252192,Primary Residence,48799.11521205438,Fixed,Widowed,67,High School,Suburban,Low,0
Good,0.7024851453210805,0,33021,117579,-533.4036881818765,1.0045365557470456,Rental,20612.205588000266,Variable,Divorced,51,Bachelor,Urban,Moderate,0
Fair,0.33169968452911786,4,137611,182774,25763.1868990617,0.8590434804782864,Primary Residence,9158.709879969245,Fixed,Widowed,43,PhD,Suburban,Low,0
Fair,1.089245780591905,16,64001,481931,14355.055696205714,0.9702134627234901,Primary Residence,36014.77221315453,Variable,Married,21,High School,Suburban,Low,0
Fair,0.8494868752863194,0,170164,93889,29276.88012274669,0.6881756103191354,Rental,44109.60401589691,Fixed,Married,61,Bachelor,Rural,Moderate,0
Fair,0.9894526853916493,18,179987,455978,32846.586734694196,0.9279645361515376,Vacation Home,13349.16691203581,Fixed,Single,22,High School,Rural,High,0
Poor,0.37508175373869557,18,146832,84155,32569.280320653335,0.6129846079180876,Vacation Home,28556.206694283403,Fixed,Divorced,45,Bachelor,Suburban,Moderate,0
Excellent,0.39644420687338733,3,126726,177782,28341.939376786766,0.8405803772216155,Rental,12269.350665020851,Variable,Married,21,Masters,Rural,High,0
Poor,0.15809625571386893,18,35739,194454,15952.19267538473,0.9179641834295786,Primary Residence,41127.60300287176,Fixed,Married,52,High School,Urban,Moderate,0
Poor,0.5508945492740216,5,93012,404336,14996.217700368428,0.9629114951417425,Vacation Home,4339.971817470089,Variable,Married,53,PhD,Urban,Low,0
Poor,0.8836425258671449,14,33699,79852,2089.691165706159,0.97383044675517,Primary Residence,18626.271604516693,Variable,Widowed,45,Bachelor,Rural,High,0
Fair,1.3011088795962604,3,153876,178329,41265.92333091019,0.7685966761945047,Rental,18994.797485852254,Fixed,Divorced,53,PhD,Suburban,Moderate,0
Good,1.033698426442153,0,199976,163417,38766.5641879083,0.7627752058359394,Primary Residence,31846.222062226876,Fixed,Married,57,High School,Urban,Moderate,0
Excellent,0.7095548527596519,16,58343,98843,2167.766520518826,0.9780685883621619,Rental,8910.489921655857,Fixed,Married,33,High School,Suburban,Low,0
Good,1.434368160151793,10,162847,367122,34567.64947459816,0.9058415200543738,Rental,23750.342086708315,Variable,Divorced,50,Bachelor,Urban,Moderate,0
Poor,1.1069432808061646,16,128985,344274,20421.983003453002,0.9406810185972423,Vacation Home,27602.290110673046,Variable,Widowed,39,Bachelor,Urban,Low,0
Poor,1.40223128400757,0,83012,453404,14671.015985718584,0.9676425086992647,Rental,44544.033596575595,Fixed,Married,29,High School,Rural,High,1
Good,0.8386231625810319,8,67686,340412,6448.984828526379,0.9810553540165259,Vacation Home,26332.616278188714,Variable,Divorced,39,High School,Rural,Moderate,0
Good,0.46246598471039546,13,84236,405486,22404.56925593319,0.9447463802549702,Rental,6596.158058689738,Fixed,Widowed,52,Bachelor,Suburban,Moderate,0
Good,0.1739573609106108,14,196946,491114,41430.253271674526,0.91564025201547,Vacation Home,5066.731362015626,Variable,Divorced,64,Masters,Rural,Low,0
Poor,1.1165187920773907,0,150025,164629,23556.564814742465,0.8569112075348664,Primary Residence,46206.883837581554,Fixed,Married,67,PhD,Rural,Low,0
Poor,0.26982419720774775,1,138222,489834,28636.14090780967,0.9415390909822314,Rental,48983.43037578446,Variable,Divorced,21,PhD,Rural,Moderate,1
Excellent,0.523885179580754,17,51586,337970,13672.680240186983,0.9595446926052994,Primary Residence,8351.591010376358,Variable,Single,65,High School,Urban,High,0
Excellent,0.8454592710374563,17,77009,344139,14343.52025315515,0.9583205615952998,Rental,37567.70663645463,Fixed,Divorced,31,High School,Suburban,Low,0
Poor,0.8901832228916466,5,20607,185534,12398.302299257943,0.9331750390803952,Rental,12535.753826158969,Variable,Single,35,Bachelor,Suburban,High,1
Good,0.9408164757819903,19,57386,84804,16684.653468875887,0.8032562913438531,Rental,41645.79343020514,Variable,Widowed,28,PhD,Suburban,High,0
Good,0.3327574624895809,7,99625,269397,17515.942454245967,0.9349809298015718,Vacation Home,4830.373264169319,Fixed,Single,30,PhD,Rural,High,0
Excellent,0.6316323667503082,0,133872,204245,25640.882718192675,0.874460169315319,Vacation Home,21856.043031501216,Variable,Widowed,40,High School,Suburban,Low,0
Poor,0.9640719179637534,14,188097,361833,31436.301950513232,0.9131193065571321,Primary Residence,29803.51923259968,Variable,Divorced,31,Masters,Suburban,Low,0
Excellent,1.4577464104872986,9,134235,180090,18363.85797700027,0.8980295520184337,Primary Residence,42625.08843698778,Variable,Single,23,High School,Urban,High,0
Excellent,1.1186835927795642,3,140300,305506,23708.241449284436,0.9223968057933906,Rental,42836.33160021914,Fixed,Single,45,High School,Suburban,Low,0
Fair,1.391645259931541,9,83492,277343,13184.628890643457,0.9524609278379355,Primary Residence,9214.726455802835,Variable,Married,38,High School,Rural,Moderate,0
Fair,1.167096881639848,10,161295,109496,38891.37189283187,0.6448146791404995,Rental,48355.930439129625,Fixed,Divorced,61,PhD,Urban,High,0
Fair,0.9284037564493606,4,42943,452198,1714.8268253230353,0.996207796528682,Rental,31927.626325453224,Variable,Divorced,66,Masters,Urban,Moderate,0
Good,0.36883271679088236,8,107051,407578,21896.948980531506,0.9462754393501821,Rental,32938.64800838635,Fixed,Single,36,Masters,Urban,Low,0
Poor,1.0333599126495183,4,115155,384543,24103.560678809525,0.9373189456606685,Vacation Home,44449.652311256235,Fixed,Divorced,63,PhD,Suburban,Moderate,0
Poor,0.9727313923438698,10,86287,330476,13721.775319951645,0.9584787539187365,Primary Residence,16014.814499846336,Variable,Widowed,20,Masters,Urban,High,0
Poor,0.9434568386401729,2,131541,129525,31405.689403332468,0.7575318324390468,Vacation Home,20760.903622325157,Variable,Divorced,67,PhD,Urban,Moderate,0
Poor,0.7857002151835369,3,125849,153482,23606.952775163903,0.8461907404440657,Rental,49249.43511223575,Variable,Married,27,Bachelor,Urban,Low,0
Fair,0.8401192455849857,9,90880,202560,15212.71273169509,0.9248977452029271,Rental,826.9050472661465,Variable,Widowed,49,Bachelor,Suburban,Moderate,0
Good,0.5682195379653456,6,185045,398207,45220.61672336262,0.8864394229047642,Vacation Home,43357.94830748139,Fixed,Married,60,PhD,Urban,High,0
Good,0.8270377696992244,0,187727,128483,33335.579915275026,0.7405448198183804,Primary Residence,42125.307015952036,Fixed,Divorced,43,PhD,Suburban,Moderate,0
Fair,0.3765782679498695,5,94158,442468,22723.99494001974,0.9486426251389485,Vacation Home,13120.646985512312,Fixed,Widowed,62,PhD,Rural,Low,0
Good,1.2272441563045275,7,142207,272619,25602.622566033,0.906086433572007,Vacation Home,41084.74171254695,Fixed,Married,36,PhD,Suburban,Low,0
Fair,0.36008773657819093,16,122987,356353,18521.44723031848,0.9480249998447648,Primary Residence,16512.156170999613,Fixed,Divorced,49,PhD,Rural,Moderate,0
Poor,0.21895280584525298,6,80461,331376,14440.054099290035,0.9564239591904965,Rental,31448.858512761442,Variable,Married,60,PhD,Rural,High,1
Fair,0.7107444369000202,0,38658,435137,19510.36754589007,0.9551627015264387,Primary Residence,22343.915292393405,Variable,Single,62,Masters,Rural,Moderate,0
Poor,1.0216304153084865,8,142211,167031,21223.24689659835,0.8729382755500575,Primary Residence,5066.46502791655,Variable,Widowed,28,Bachelor,Urban,High,0
Poor,0.7128035549069578,10,56133,279081,7724.567773325447,0.9723214128753823,Vacation Home,44767.94591299376,Variable,Married,21,Bachelor,Suburban,Moderate,0
Excellent,0.48745578473183204,18,145275,103685,35200.447179351744,0.6605058862964581,Rental,27262.996061449434,Fixed,Single,45,High School,Suburban,Low,0
Fair,0.881439657446617,1,40620,146521,3424.915849938143,0.9766250854830493,Rental,24090.55380015991,Variable,Widowed,51,Bachelor,Urban,High,0
Excellent,0.5858032695770798,10,188139,66545,34618.18642178703,0.4797777981548271,Rental,43974.88337498035,Variable,Married,46,Bachelor,Suburban,High,0
Fair,1.4060147661772864,2,180747,107847,36822.739699635116,0.6585650069113177,Vacation Home,16401.03082828812,Variable,Widowed,60,High School,Urban,High,0
Fair,1.391703195445001,16,20860,325491,3047.715667508269,0.990636559328804,Vacation Home,28517.11366140771,Fixed,Divorced,30,High School,Urban,Low,1
Excellent,0.8033205479609336,9,135532,183706,29650.701517897764,0.8385969891135958,Primary Residence,44113.7616061034,Fixed,Divorced,20,PhD,Suburban,Low,0
Excellent,0.5590375916255619,2,47618,306457,8209.883279987194,0.97321032549432,Primary Residence,17144.048272947286,Variable,Single,56,PhD,Rural,Low,0
Fair,1.1319853795392947,2,47916,448317,9612.083381577308,0.9785596277152612,Vacation Home,39676.78030759583,Fixed,Widowed,37,Bachelor,Rural,Moderate,0
Good,0.15139812087629329,6,102056,137686,19757.54349044821,0.8565028870731359,Primary Residence,25718.53179019645,Variable,Single,27,High School,Rural,Moderate,0
Poor,0.7646766084611116,1,107667,469186,17445.364693835545,0.9628178063841727,Vacation Home,7888.330192332632,Fixed,Divorced,46,PhD,Urban,Moderate,0
Excellent,0.570852751978467,0,42878,67893,-675.1984232172235,1.0099450373855512,Primary Residence,2029.5783862137318,Variable,Married,37,Masters,Rural,High,0
Poor,1.3887502391435766,6,96960,68703,29001.447247200424,0.5778721853892781,Rental,36336.27007610538,Fixed,Widowed,28,PhD,Urban,High,0
Good,0.11680423818175556,19,58554,405506,7568.348289040599,0.9813360387046293,Vacation Home,13093.753709661998,Fixed,Single,21,PhD,Urban,High,0
Good,0.8739408260056887,10,177868,72489,31730.254063965447,0.5622749097936867,Primary Residence,40786.44097656584,Variable,Divorced,36,High School,Rural,High,0
Good,1.1369290134932764,5,160417,156975,33075.37830840686,0.7892952488714327,Vacation Home,9446.426152551423,Fixed,Married,30,Bachelor,Rural,Low,0
Excellent,0.7790251825336577,3,143858,422894,23599.523636736198,0.9441951797927229,Vacation Home,28392.819433422763,Fixed,Divorced,65,Bachelor,Urban,High,0
Good,0.21956424222781032,18,143448,479983,33268.30388338521,0.9306885787967799,Primary Residence,4673.463910552117,Variable,Divorced,25,Masters,Urban,Moderate,0
Excellent,1.4614459460390632,18,42584,304155,9789.851736164357,0.9678129515011611,Primary Residence,36788.38985508535,Variable,Married,24,Bachelor,Rural,Moderate,0
Good,0.825214603926537,13,31598,241258,4963.424412087539,0.9794269022702354,Vacation Home,38285.14663903168,Fixed,Married,31,High School,Suburban,Low,0
Poor,0.9598607420466159,2,169517,262984,31405.020709978897,0.8805820098942183,Vacation Home,45827.30265645602,Variable,Widowed,63,Masters,Urban,High,0
Poor,0.4312536957905102,3,63813,69733,6760.3091276681125,0.9030543770142097,Primary Residence,28067.989602423455,Fixed,Married,61,Bachelor,Urban,Low,0
Fair,0.7768973191495253,7,154802,126942,32527.05720621633,0.743764418346833,Rental,5322.083781912967,Fixed,Married,54,High School,Rural,Low,0
Poor,0.7008092887416505,17,31684,274775,7017.788853528506,0.9744598713364444,Rental,41388.260258200324,Variable,Divorced,43,High School,Rural,Moderate,0
Fair,0.20485417880277723,3,124426,211731,21655.151685081837,0.8977232824429024,Rental,15694.706061853796,Variable,Divorced,49,PhD,Rural,Low,0
Poor,0.2486244949664541,10,185635,492759,39747.44038950184,0.9193369570327444,Vacation Home,44979.671287488636,Fixed,Divorced,36,Bachelor,Urban,Low,0
Excellent,1.2724615274662845,15,161113,290982,40125.2463094006,0.8621040259899218,Rental,48891.72871612584,Variable,Married,66,PhD,Rural,Moderate,0
Poor,0.4357479330892263,2,93723,451167,18818.09674246029,0.9582901747192054,Vacation Home,6624.427892015227,Variable,Widowed,55,Bachelor,Suburban,Moderate,0
Fair,0.37294158009808276,6,81320,433663,15027.815058139968,0.9653467898849107,Primary Residence,4147.982751594625,Variable,Divorced,25,Bachelor,Suburban,High,0
Fair,0.8068760317501948,1,123144,376561,19825.62445034266,0.9473508290812307,Rental,44880.168622333,Variable,Divorced,51,PhD,Rural,Moderate,0
Good,1.1762459839075181,0,52624,265765,9729.3211164316,0.9633912625197766,Primary Residence,44943.809605359216,Variable,Married,53,PhD,Urban,Low,0
Excellent,0.18672512601058308,0,23726,215078,2648.2056786355724,0.9876872312433835,Rental,29259.886463128652,Variable,Married,63,PhD,Rural,Moderate,0
Poor,0.9075310874935582,5,152915,236936,25350.313237775477,0.8930077605860846,Rental,44406.0624256519,Fixed,Single,35,Bachelor,Rural,Low,0
Good,0.2668946199768027,18,74929,274132,17242.02698516691,0.9371031948653681,Primary Residence,46526.077190342214,Fixed,Married,26,High School,Urban,Moderate,0
Poor,0.15104547115586583,6,33754,312884,8117.7907104626,0.9740549510027275,Primary Residence,27769.478278845712,Variable,Divorced,51,Bachelor,Suburban,High,0
Poor,0.17384153302710434,4,179925,406139,36366.97830527139,0.9104568182192024,Vacation Home,34326.40922453368,Variable,Married,36,PhD,Suburban,High,0
Good,1.267829751491818,17,115324,302230,21253.737843946405,0.929676941918584,Primary Residence,30678.637421496263,Fixed,Single,51,High School,Urban,Low,0
Good,0.26516147707928617,12,24567,474315,9520.587660981077,0.9799277112025109,Vacation Home,8729.957404496541,Fixed,Widowed,33,High School,Rural,High,0
Good,0.16321191017720874,0,82118,421483,7672.0785308997365,0.9817974188024198,Vacation Home,21811.7906881233,Variable,Single,45,High School,Rural,Low,0
Good,0.7130598420000771,9,52150,321871,1914.4704496993036,0.9940520567255225,Primary Residence,34069.21650355856,Variable,Widowed,28,PhD,Urban,Moderate,0
Good,1.2815908607188347,8,117364,172179,24600.210807363736,0.8571242090651953,Rental,30513.444861758206,Variable,Widowed,32,Bachelor,Suburban,High,0
Poor,0.4673717270850227,16,157534,246976,37828.717268729306,0.8468324158269254,Rental,10754.891117650433,Variable,Divorced,69,High School,Urban,Moderate,0
Good,0.6903976645362828,0,47560,420911,10114.602999271028,0.9759697346962398,Rental,45487.95782255919,Variable,Married,44,Masters,Urban,Moderate,0
Excellent,0.15589154558925172,0,104568,207605,21549.094390084272,0.8962014672571265,Primary Residence,39203.41698600599,Fixed,Married,31,Bachelor,Suburban,Low,0
Fair,0.7287099197888262,6,133246,284285,21413.140391729452,0.9246772063537315,Rental,3422.8784945819934,Fixed,Single,64,Masters,Urban,Low,0
Good,0.9086583128919871,3,154443,211480,20166.231349858055,0.904642371146879,Vacation Home,17203.917566677068,Fixed,Married,35,Bachelor,Rural,High,0
Good,0.8992698752530026,11,105349,153523,16196.629209870334,0.894500308032866,Primary Residence,49776.90656248053,Variable,Widowed,68,Bachelor,Rural,Moderate,0
Poor,0.5653973690441112,15,144460,377449,32113.404651364566,0.9149198841396731,Vacation Home,19490.50168405682,Variable,Divorced,49,Masters,Urban,Moderate,0
Good,0.5417464529283897,13,22932,419738,-3276.1541295042543,1.0078052359555347,Rental,33171.499456589714,Fixed,Divorced,40,Bachelor,Urban,Moderate,0
Good,0.24927306651123704,9,172542,286980,30249.138693481233,0.8945949589048672,Rental,5033.8780375080105,Fixed,Widowed,43,PhD,Suburban,High,0
Good,0.6135176489047757,13,29778,458254,-1875.2885442123015,1.0040922469726665,Rental,15546.200049107678,Fixed,Widowed,62,Bachelor,Urban,Moderate,0
Poor,0.2392925364221505,6,43033,420031,4080.542049251444,0.9902851407413943,Vacation Home,44102.69268950322,Variable,Widowed,24,High School,Rural,Moderate,0
Good,1.1732343225968722,3,161376,494015,37974.97378722579,0.9231299175384841,Rental,25526.973101199084,Fixed,Widowed,66,PhD,Suburban,Moderate,0
Fair,1.4527840168474602,1,147441,125759,26458.571547004485,0.7896089222480739,Vacation Home,41255.61222597516,Fixed,Married,52,Bachelor,Urban,Moderate,0
Poor,1.4581042393333896,17,165479,99061,37667.606059389866,0.619753424058006,Primary Residence,382.97357881000306,Fixed,Widowed,68,Masters,Rural,High,0
Fair,1.3110995391255513,15,22521,469470,1599.0512795271889,0.9965939223389627,Primary Residence,33307.04022434317,Variable,Married,50,Masters,Urban,High,1
Poor,0.9411090090754667,8,146631,207794,36532.24399636939,0.8241900921279277,Primary Residence,14996.413958549638,Fixed,Divorced,69,Bachelor,Urban,Moderate,0
Good,1.0812119761414318,4,104622,331352,22669.66415620196,0.9315843448773451,Rental,43038.82987279242,Variable,Married,28,High School,Suburban,Moderate,0
Fair,0.4992881237525797,8,137257,372784,25147.690426830883,0.9325408536127331,Vacation Home,47202.329958506954,Fixed,Widowed,68,Masters,Urban,High,0
Poor,0.9830785882416688,7,134647,136090,26120.225539806837,0.8080665328840706,Rental,34380.947620544524,Fixed,Single,54,PhD,Suburban,High,0
Excellent,0.7379093692158284,19,151855,236133,23163.278297484336,0.9019057975908309,Primary Residence,7303.93998287297,Fixed,Single,27,PhD,Suburban,High,0
Good,0.7748242756877054,15,62666,332309,9978.081759286104,0.9699734832361263,Primary Residence,23405.364535945882,Fixed,Married,30,Bachelor,Urban,Low,0
Poor,1.160887184525221,19,167870,405620,40676.83748027231,0.8997168840780231,Rental,23224.768933271316,Variable,Single,36,Bachelor,Suburban,High,1
Excellent,0.49468569783615224,17,96303,462728,21057.14123284111,0.9544934794677626,Rental,41514.91944124865,Fixed,Divorced,35,Masters,Suburban,High,0
Poor,0.5452554563723279,3,21103,183051,-6218.199272132213,1.0339697640118448,Rental,23030.78206769425,Variable,Married,39,High School,Suburban,High,1
Excellent,1.3944985075800913,15,90845,405953,17313.578620106873,0.9573507804595437,Vacation Home,16631.743228531883,Variable,Single,46,PhD,Suburban,Moderate,0
Good,0.17871401279136115,3,185011,449828,37842.49846648465,0.9158734039088615,Rental,30567.578386355883,Fixed,Divorced,33,High School,Urban,High,0
Fair,0.7798880177786764,5,94170,76763,22586.83823303913,0.7057587870062513,Primary Residence,32354.111459303487,Variable,Married,41,Masters,Suburban,Moderate,0
Excellent,1.3779211205710065,2,32135,449238,4552.743396047707,0.9898656315893852,Primary Residence,40497.396904110676,Variable,Married,68,Masters,Urban,Moderate,0
Poor,0.9545082109454197,17,139433,109750,27286.359050240724,0.7513771384943898,Vacation Home,45022.069155145975,Variable,Married,26,Masters,Rural,Moderate,0
Good,0.8649699038969848,14,117580,256376,28679.722788135543,0.8881341358468204,Rental,44497.84312293119,Fixed,Married,30,Masters,Urban,Moderate,0
Excellent,0.4496418509210973,7,106481,209127,20079.940743938387,0.903982074318771,Vacation Home,31336.20460108622,Variable,Widowed,36,PhD,Suburban,High,0
Poor,0.5805856846902275,17,59404,123368,8237.307597842466,0.933229787320517,Rental,26213.976954608577,Variable,Single,32,High School,Suburban,Low,0
